archived_at,slug,version_dir,final_video,shots,bytes,note,source_runs
2026-06-26T06:30:33.034152+00:00,ref-001,ref-001/20260626-063033,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-001\20260626-063033\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",6474900,migrate_workspace_layout,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-001
2026-06-26T06:30:33.064483+00:00,ref-006,ref-006/20260626-063033,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-006\20260626-063033\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",8089166,migrate_workspace_layout,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-006
2026-06-26T06:30:33.095990+00:00,ref-011,ref-011/20260626-063033,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-011\20260626-063033\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",7391221,migrate_workspace_layout,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-011
2026-06-26T06:30:33.129400+00:00,ref-012,ref-012/20260626-063033,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-012\20260626-063033\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",9320899,migrate_workspace_layout,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-012
2026-06-26T06:30:33.160765+00:00,ref-023,ref-023/20260626-063033,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-023\20260626-063033\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",7913652,migrate_workspace_layout,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-023
2026-06-26T06:30:33.191756+00:00,ref-025,ref-025/20260626-063033,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-025\20260626-063033\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",7861035,migrate_workspace_layout,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-025
2026-06-26T06:30:33.221093+00:00,ref-029,ref-029/20260626-063033,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-029\20260626-063033\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",7339039,migrate_workspace_layout,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-029
2026-06-26T06:30:33.250417+00:00,ref-030,ref-030/20260626-063033,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-030\20260626-063033\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",7367522,migrate_workspace_layout,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-030
2026-06-26T10:51:33.427585+00:00,ref-023,ref-023/20260626-105133,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-023\20260626-105133\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",10045236,,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-023
2026-06-26T11:09:59.369974+00:00,ref-023,ref-023/20260626-110959,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-023\20260626-110959\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",8492629,,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-023
2026-06-30T02:23:03.671658+00:00,ref-023,ref-023/20260630-022303,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-023\20260630-022303\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",9159231,,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-023
2026-06-30T02:51:45.816989+00:00,ref-023,ref-023/20260630-025145,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-023\20260630-025145\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",8226262,,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-023
2026-06-30T03:01:46.089523+00:00,ref-023,ref-023/20260630-030146,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-023\20260630-030146\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",9457750,,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-023
2026-06-30T03:14:42.234049+00:00,ref-023,ref-023/20260630-031442,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-023\20260630-031442\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",9591619,,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-023
2026-06-30T03:26:35.106361+00:00,ref-023,ref-023/20260630-032635,C:\Users\bu\Documents\海外视频本地化工作流\03_产出库\ref-023\20260630-032635\final-video.mp4,"shot-1.mp4,shot-2.mp4,shot-3.mp4,shot-4.mp4,shot-5.mp4",9606725,,C:\Users\bu\Documents\海外视频本地化工作流\overseas-loc-mvp\runs\ref-023
2026-07-02T09:08:58.807310+00:00,ref-002,ref-002/20260702-090858,/Users/apple/.openclaw/workspace/vl-workflow/03_产出库/ref-002/20260702-090858/final-video.mp4,"shot-1.mp4,shot-2.mp4",3686753,,/Users/apple/.openclaw/workspace/vl-workflow/overseas-loc-mvp/runs/ref-002
