slug,link_id,title,updated_at,manual_edits,adopted,publish_views,publish_engagement,publish_notes,notes
ref-005,5,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T08:19:49.878825+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-004,4,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T08:19:09.530622+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-003,3,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T07:55:21.297297+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-018,18,熊猫布布吸奶器 tips for busy moms,2026-06-23T06:14:24.175840+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-002,2,熊猫布布便携恒温杯 tips for traveling parents,2026-06-23T06:10:37.795469+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-036,36,Portable bottle warmer tips for traveling parents,2026-06-23T03:45:30.210743+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-010,10,Portable bottle warmer tips for traveling parents,2026-06-23T02:20:45.332583+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-007,7,Replying to @tot_redacted can’t imagine a better compliment ❤️❤️ #flangesize #pu,2026-06-22T10:28:32.776256+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
ref-001,1,How to make a hands free pumping bra from a regular nursing bra?! PUMPING HACK! ,2026-06-22T10:08:15.954376+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
night-pumping-v1,,night pumping,2026-06-22T10:08:15.910436+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
flange-size-v1,,flange size,2026-06-22T10:08:15.870612+00:00,,待定,,,,交付后由剪辑/运营填写人工修改与投放数据，用于反哺模型
