slug,link_id,title,saved_at,script_ref,video_refs,template_id,template_label,product_id,product_name,delivery_files,source_tiktok_url
ref-005,5,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T08:19:49.937958+00:00,"{""script_pack"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\5\\script-pack.json"", ""delivery_pack"": ""交付脚本包.json"", ""generated_dir"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\5"", ""script_pack.md"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\5\\script-pack.md""}",,,产品种草型,便携恒温杯,便携恒温杯,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,https://www.tiktok.com/@kaylatwinmom/video/7442474674031693099
ref-004,4,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T08:19:09.584763+00:00,"{""script_pack"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\4\\script-pack.json"", ""delivery_pack"": ""交付脚本包.json"", ""generated_dir"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\4"", ""script_pack.md"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\4\\script-pack.md""}",,,产品种草型,便携恒温杯,便携恒温杯,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,https://www.tiktok.com/@elliamalone/video/7280005363171151146
ref-003,3,熊猫布布便携恒温杯 tips for calmer night feeds,2026-06-23T07:55:21.346533+00:00,"{""script_pack"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\3\\script-pack.json"", ""delivery_pack"": ""交付脚本包.json"", ""generated_dir"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\3"", ""script_pack.md"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\3\\script-pack.md""}",,,产品种草型,便携恒温杯,便携恒温杯,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,https://www.tiktok.com/@babybrezza/video/7383388217879383339
ref-018,18,熊猫布布吸奶器 tips for busy moms,2026-06-23T06:14:24.223584+00:00,"{""script_pack"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\18\\script-pack.json"", ""delivery_pack"": ""交付脚本包.json"", ""generated_dir"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\18"", ""script_pack.md"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\18\\script-pack.md""}",,,产品种草型,吸奶器,熊猫布布吸奶器,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,https://www.tiktok.com/@theregistrymama/video/7456447365608639774
ref-002,2,熊猫布布便携恒温杯 tips for traveling parents,2026-06-23T06:10:37.862978+00:00,"{""script_pack"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\2\\script-pack.json"", ""delivery_pack"": ""交付脚本包.json"", ""generated_dir"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\2"", ""script_pack.md"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\2\\script-pack.md""}",,,产品种草型,便携恒温杯,,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,https://www.tiktok.com/@eugenie.strawderman/video/7440471494041275678
ref-001,1,How to make a hands free pumping bra from a regular nursing bra?! PUMPING HACK! ,2026-06-23T03:54:35.294197+00:00,"{""script_pack"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\1\\script-pack.json"", ""delivery_pack"": ""交付脚本包.json"", ""generated_dir"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\1"", ""script_pack.md"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\1\\script-pack.md""}",,,产品种草型,便携恒温杯,便携恒温杯,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,https://www.tiktok.com/@gadgetglimpse/video/7376304558559071530
ref-036,36,Portable bottle warmer tips for traveling parents,2026-06-23T03:45:30.265288+00:00,"{""script_pack"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\36\\script-pack.json"", ""delivery_pack"": ""交付脚本包.json"", ""generated_dir"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\36"", ""script_pack.md"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\36\\script-pack.md""}",,,产品种草型,便携恒温杯,便携恒温杯,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,https://www.tiktok.com/@themilknest/video/7434209692466826526
ref-010,10,Portable bottle warmer tips for traveling parents,2026-06-23T02:21:06.894776+00:00,"{""script_pack"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\10\\script-pack.json"", ""delivery_pack"": ""交付脚本包.json"", ""generated_dir"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\10"", ""script_pack.md"": ""C:\\Users\\bu\\Documents\\海外视频本地化工作流\\海外视频本地化MVP\\生成脚本\\10\\script-pack.md""}",,,产品种草型,便携恒温杯,便携恒温杯,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,https://www.tiktok.com/@claudiadelrio1/video/7472050129772629290
ref-007,7,Replying to @tot_redacted can’t imagine a better compliment ❤️❤️ #flangesize #pu,2026-06-23T02:19:12.887439+00:00,"{""delivery_pack"": ""交付脚本包.json""}",,【模板】痛点反问开场 → 3步实操演示 → 前后对比一句 → 软性 CTA。适用,【模板】痛点反问开场 → 3步实操演示 → 前后对比一句 → 软性 CTA。适用于教程类、测评类、hack 类母婴短视频。,panda-bubu-pro,,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,https://www.tiktok.com/@lactationhub/video/7386829810133175595
night-pumping-v1,,night pumping,2026-06-23T02:19:12.847639+00:00,"{""delivery_pack"": ""交付脚本包.json""}",,,,panda-bubu-pro,,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,
flange-size-v1,,flange size,2026-06-23T02:19:12.841003+00:00,"{""delivery_pack"": ""交付脚本包.json""}",,,,panda-bubu-pro,,交付脚本包.md;交付脚本包.json;subtitles.srt;剪辑单.html,
